ride_type,distance_km,time_of_day,day_type,demand_level,traffic_condition,weather_condition,pickup_zone,base_fare,surge_multiplier,final_fare,ride_timestamp
Bike,23.62,Evening,Weekend,High,Heavy,Clear,Residential,161.72,1.45,236.02,2025-08-24 05:08:44.246848
Bike,5.95,Evening,Weekday,High,Light,Clear,Metro Station,55.7,1.3,72.73,2025-11-05 06:07:44.247016
Bike,46.61,Morning,Weekday,Low,Light,Clear,Metro Station,299.66,1.0,292.51,2025-10-16 04:54:44.247187
Taxi,43.55,Early Morning,Weekday,High,Heavy,Clear,Airport,572.6,1.4,822.24,2025-11-13 19:50:44.247384
Taxi,24.01,Morning,Weekend,Very High,Moderate,Clear,IT Park,338.12,1.4,481.09,2025-11-06 11:22:44.247553
Taxi,47.43,Evening,Weekday,Medium,Light,Clear,IT Park,619.16,1.1,674.04,2025-09-28 20:24:44.247720
Taxi,43.47,Afternoon,Weekday,High,Moderate,Cloudy,Airport,571.64,1.3,729.62,2025-08-08 18:16:44.247887
Bike,39.12,Night,Weekend,Low,Moderate,Cloudy,Airport,254.72,1.3,345.03,2025-08-24 14:07:44.248106
Taxi,36.58,Night,Weekday,Low,Heavy,Cloudy,Metro Station,488.96,1.25,622.92,2025-09-02 04:49:44.248367
Taxi,38.46,Morning,Weekday,High,Moderate,Cloudy,IT Park,511.52,1.2,608.59,2025-10-12 09:22:44.248539
Taxi,45.86,Night,Weekday,Very High,Moderate,Storm,Commercial,600.32,1.65,964.47,2026-01-16 14:28:44.248708
Taxi,18.11,Night,Weekday,High,Light,Cloudy,Airport,267.32,1.45,386.25,2025-11-17 22:04:44.248895
Taxi,2.04,Night,Weekend,High,Moderate,Rainy,Airport,74.48,1.58,122.31,2025-09-09 07:28:44.249065
Taxi,38.81,Evening,Weekend,Low,Moderate,Rainy,Commercial,515.72,1.23,620.94,2025-10-09 13:05:44.249236
Taxi,45.69,Night,Weekday,Medium,Moderate,Clear,IT Park,598.28,1.15,695.89,2025-11-12 13:39:44.249432
Taxi,11.71,Afternoon,Weekend,High,Heavy,Rainy,Metro Station,190.52,1.43,281.17,2025-08-13 07:38:44.249604
Bike,44.14,Night,Weekend,Medium,Moderate,Rainy,Metro Station,284.84,1.28,357.82,2025-08-25 07:07:44.249772
Taxi,24.55,Evening,Weekday,Medium,Heavy,Cloudy,Commercial,344.6,1.2,393.53,2026-01-21 04:59:44.249937
Taxi,41.65,Morning,Weekday,Low,Heavy,Clear,Metro Station,549.8,1.1,628.56,2025-12-01 20:34:44.250116
Bike,1.6,Morning,Weekend,High,Heavy,Cloudy,Residential,29.6,1.35,39.1,2026-01-31 21:02:44.250292
Bike,34.0,Night,Weekday,Very High,Heavy,Clear,Airport,224.0,1.7,378.5,2026-01-21 23:08:44.250485
Bike,5.14,Evening,Weekend,Medium,Moderate,Clear,IT Park,50.84,1.15,59.72,2025-10-20 03:55:44.250658
Bike,19.02,Early Morning,Weekday,Medium,Heavy,Cloudy,Residential,134.12,1.1,149.99,2026-01-18 18:21:44.250826
Taxi,38.91,Afternoon,Weekday,Medium,Heavy,Clear,Commercial,516.92,1.1,576.37,2025-08-08 21:58:44.250994
Bike,4.56,Morning,Weekend,Medium,Moderate,Clear,Commercial,47.36,1.05,52.06,2025-08-07 22:57:44.251172
Taxi,16.67,Early Morning,Weekday,High,Moderate,Cloudy,Commercial,250.04,1.2,312.52,2025-11-18 02:54:44.251340
Taxi,43.99,Morning,Weekend,Very High,Light,Cloudy,Airport,577.88,1.5,888.93,2025-10-04 11:53:44.251521
Bike,5.45,Evening,Weekday,High,Light,Rainy,Residential,52.7,1.38,74.4,2025-10-17 06:11:44.251703
Taxi,3.35,Early Morning,Weekday,Low,Light,Clear,IT Park,90.2,1.0,91.02,2025-08-27 09:19:44.251871
Bike,3.21,Evening,Weekday,Medium,Moderate,Clear,Airport,39.26,1.2,47.12,2026-01-26 19:37:44.252045
Bike,6.68,Early Morning,Weekday,Medium,Moderate,Clear,Commercial,60.08,1.0,58.07,2025-09-24 15:31:44.252532
Taxi,35.95,Morning,Weekday,Low,Light,Cloudy,Metro Station,481.4,1.0,462.62,2025-10-13 21:56:44.252944
Bike,25.0,Evening,Weekend,Very High,Moderate,Cloudy,IT Park,170.0,1.5,247.39,2025-10-09 20:16:44.253233
Taxi,24.08,Night,Weekday,Very High,Moderate,Cloudy,IT Park,338.96,1.5,486.56,2025-10-08 15:40:44.253461
Taxi,12.0,Afternoon,Weekday,Low,Light,Clear,Residential,194.0,1.0,200.04,2025-09-28 15:05:44.253637
Bike,39.61,Afternoon,Weekday,High,Light,Clear,IT Park,257.66,1.2,324.28,2025-11-06 19:08:44.253839
Taxi,4.01,Morning,Weekday,Medium,Light,Clear,IT Park,98.12,1.0,98.41,2025-09-16 22:15:44.254011
Bike,44.53,Afternoon,Weekday,Low,Heavy,Clear,IT Park,287.18,1.1,301.57,2025-08-24 23:35:44.254193
Taxi,23.23,Morning,Weekday,Low,Moderate,Rainy,IT Park,328.76,1.08,354.2,2026-01-21 08:49:44.254368
Taxi,29.8,Afternoon,Weekday,High,Moderate,Storm,Metro Station,407.6,1.35,522.89,2025-10-15 17:12:44.254581
Bike,28.5,Morning,Weekday,Low,Light,Clear,Residential,191.0,1.0,193.78,2025-08-15 10:40:44.254763
Taxi,19.81,Morning,Weekend,Very High,Light,Rainy,Metro Station,287.72,1.48,444.14,2026-01-08 11:53:44.254954
Taxi,1.32,Evening,Weekend,Low,Light,Clear,Commercial,65.84,1.15,77.78,2025-09-24 03:23:44.255129
Taxi,5.35,Morning,Weekend,Medium,Moderate,Clear,Metro Station,114.2,1.05,114.32,2025-11-15 02:23:44.255296
Bike,33.04,Night,Weekend,Very High,Heavy,Rainy,Residential,218.24,1.73,393.92,2025-11-06 22:45:44.255465
Taxi,29.55,Morning,Weekday,High,Moderate,Rainy,Commercial,404.6,1.28,530.78,2025-09-03 17:45:44.255672
Bike,8.87,Early Morning,Weekday,High,Heavy,Cloudy,Airport,73.22,1.4,104.42,2025-09-04 01:59:44.255848
Taxi,5.3,Afternoon,Weekday,Medium,Moderate,Clear,IT Park,113.6,1.0,110.89,2025-12-07 22:20:44.256036
Bike,24.15,Morning,Weekday,Medium,Heavy,Clear,IT Park,164.9,1.1,185.72,2025-12-05 01:32:44.256203
Bike,9.92,Morning,Weekday,Medium,Light,Rainy,Airport,79.52,1.18,96.09,2026-01-05 13:48:44.256369
Taxi,36.64,Night,Weekday,Medium,Heavy,Rainy,Airport,489.68,1.43,726.4,2025-08-08 16:06:44.256536
Taxi,38.62,Evening,Weekend,High,Light,Clear,Metro Station,513.44,1.35,702.69,2025-10-25 07:21:44.256740
Bike,38.81,Afternoon,Weekend,Medium,Heavy,Cloudy,Airport,252.86,1.25,323.87,2025-11-28 15:22:44.256919
Bike,9.98,Night,Weekend,High,Heavy,Cloudy,IT Park,79.88,1.5,120.41,2025-09-02 15:48:44.257105
Taxi,12.84,Night,Weekday,Medium,Light,Cloudy,Commercial,204.08,1.15,236.13,2025-11-08 07:58:44.257278
Bike,25.96,Evening,Weekend,High,Moderate,Cloudy,Commercial,175.76,1.35,227.2,2025-09-06 01:37:44.257445
Bike,8.53,Morning,Weekday,Medium,Moderate,Rainy,Commercial,71.18,1.08,74.2,2026-01-31 06:26:44.257620
Bike,9.12,Night,Weekday,High,Moderate,Cloudy,IT Park,74.72,1.35,99.82,2025-12-24 23:09:44.257825
Bike,36.32,Morning,Weekday,Medium,Moderate,Cloudy,IT Park,237.92,1.0,248.5,2025-09-05 19:29:44.258008
Taxi,22.03,Night,Weekday,Very High,Light,Clear,IT Park,314.36,1.5,488.38,2026-02-01 07:06:44.258230
Bike,30.79,Afternoon,Weekday,Low,Light,Rainy,Commercial,204.74,1.08,224.92,2025-10-20 22:24:44.258398
Taxi,35.84,Afternoon,Weekend,High,Moderate,Rainy,Residential,480.08,1.33,611.86,2025-11-30 14:24:44.258572
Taxi,44.06,Morning,Weekend,Medium,Light,Storm,Metro Station,578.72,1.2,664.6,2025-08-21 06:58:44.258744
Taxi,49.29,Afternoon,Weekday,High,Heavy,Clear,IT Park,641.48,1.3,796.59,2025-12-22 14:01:44.258943
Taxi,40.96,Afternoon,Weekend,Very High,Moderate,Rainy,Metro Station,541.52,1.48,786.82,2025-12-02 08:37:44.259144
Taxi,13.99,Afternoon,Weekday,Medium,Light,Clear,Metro Station,217.88,1.0,210.22,2025-08-22 04:50:44.259316
Taxi,27.34,Evening,Weekday,Low,Light,Clear,Commercial,378.08,1.1,416.14,2025-11-01 02:44:44.259483
Taxi,38.6,Night,Weekday,High,Heavy,Clear,Airport,513.2,1.55,762.37,2026-01-31 09:50:44.259658
Bike,5.85,Evening,Weekday,Low,Light,Clear,Residential,55.1,1.1,59.91,2026-01-24 15:51:44.259824
Taxi,24.6,Morning,Weekday,Medium,Moderate,Rainy,Metro Station,345.2,1.08,362.17,2025-11-14 14:12:44.260040
Taxi,43.9,Evening,Weekday,Medium,Heavy,Clear,Commercial,576.8,1.2,699.4,2025-09-22 00:43:44.260237
Taxi,8.7,Night,Weekday,High,Light,Clear,Residential,154.4,1.35,208.95,2025-10-04 10:42:44.260415
Taxi,38.97,Night,Weekend,High,Heavy,Cloudy,Metro Station,517.64,1.5,746.92,2025-08-08 08:47:44.260589
Taxi,29.19,Evening,Weekend,Low,Heavy,Rainy,Airport,400.28,1.43,579.77,2025-08-29 04:52:44.260757
Taxi,42.16,Morning,Weekday,Low,Light,Clear,IT Park,555.92,1.0,541.44,2026-01-09 22:40:44.260923
Bike,11.46,Night,Weekday,High,Moderate,Clear,Commercial,88.76,1.35,119.56,2025-11-25 08:08:44.261117
Bike,44.89,Morning,Weekday,Medium,Light,Cloudy,Metro Station,289.34,1.0,298.93,2025-12-20 12:14:44.261312
Bike,44.12,Night,Weekday,Medium,Heavy,Cloudy,Residential,284.72,1.25,345.65,2025-11-27 01:12:44.261493
Taxi,48.54,Night,Weekday,High,Heavy,Clear,Residential,632.48,1.45,953.79,2025-08-19 23:24:44.261660
Taxi,24.79,Night,Weekday,Low,Heavy,Cloudy,Commercial,347.48,1.25,455.01,2025-11-29 04:41:44.261829
Taxi,39.12,Evening,Weekday,Low,Light,Clear,Metro Station,519.44,1.1,585.85,2025-12-14 08:19:44.261995
Bike,45.33,Early Morning,Weekend,High,Light,Cloudy,Metro Station,291.98,1.25,372.38,2025-12-03 23:08:44.262213
Taxi,49.1,Afternoon,Weekday,Low,Heavy,Clear,IT Park,639.2,1.1,710.26,2025-09-29 11:20:44.262406
Taxi,49.4,Evening,Weekday,Low,Heavy,Cloudy,IT Park,642.8,1.2,748.62,2026-01-12 17:12:44.262588
Taxi,10.82,Afternoon,Weekday,Low,Heavy,Clear,Metro Station,179.84,1.1,203.77,2025-08-10 02:19:44.262756
Taxi,24.66,Evening,Weekday,Medium,Moderate,Cloudy,Metro Station,345.92,1.1,385.58,2025-10-16 17:33:44.262922
Bike,18.31,Night,Weekend,Medium,Heavy,Clear,IT Park,129.86,1.3,171.89,2025-10-22 21:35:44.263087
Bike,10.54,Night,Weekend,High,Moderate,Rainy,Airport,83.24,1.58,129.95,2025-11-28 02:43:44.263263
Bike,5.42,Evening,Weekday,Medium,Moderate,Cloudy,Metro Station,52.52,1.1,59.79,2025-11-13 22:55:44.263484
Taxi,24.9,Early Morning,Weekday,Medium,Moderate,Clear,Metro Station,348.8,1.0,353.35,2025-09-16 00:57:44.263673
Bike,26.95,Night,Weekday,Medium,Heavy,Clear,Commercial,181.7,1.25,220.52,2025-10-22 21:34:44.263841
Bike,31.46,Afternoon,Weekday,Low,Moderate,Storm,Residential,208.76,1.15,228.78,2025-12-31 15:57:44.264011
Bike,37.71,Early Morning,Weekday,Very High,Moderate,Clear,Airport,246.26,1.45,348.92,2025-11-25 02:56:44.264177
Taxi,32.38,Early Morning,Weekday,Low,Light,Rainy,Metro Station,438.56,1.08,474.58,2026-01-21 16:54:44.264355
Taxi,29.58,Evening,Weekend,High,Moderate,Clear,Residential,404.96,1.35,545.91,2025-12-15 20:22:44.264576
Bike,49.14,Evening,Weekday,High,Moderate,Clear,Metro Station,314.84,1.3,404.74,2025-11-12 10:12:44.264751
Taxi,38.49,Evening,Weekday,High,Moderate,Cloudy,Airport,511.88,1.4,711.22,2025-11-09 13:23:44.264917
Bike,8.06,Afternoon,Weekend,Medium,Moderate,Clear,Residential,68.36,1.05,70.21,2025-11-16 22:43:44.265085
Bike,31.59,Afternoon,Weekday,Low,Heavy,Rainy,Commercial,209.54,1.18,255.02,2025-10-25 03:31:44.265251
Taxi,33.62,Morning,Weekend,Medium,Light,Rainy,Airport,453.44,1.23,532.32,2025-09-21 02:14:44.265427
Taxi,21.82,Evening,Weekday,Medium,Heavy,Clear,Metro Station,311.84,1.2,370.6,2026-01-19 02:01:44.265645
Taxi,37.68,Evening,Weekday,Medium,Moderate,Rainy,Metro Station,502.16,1.18,565.98,2025-09-01 17:56:44.265815
Bike,16.03,Morning,Weekday,High,Light,Clear,Airport,116.18,1.3,150.54,2025-10-02 09:49:44.265982
Bike,7.35,Early Morning,Weekday,Low,Heavy,Clear,Metro Station,64.1,1.1,67.59,2025-09-24 09:19:44.266169
Taxi,26.85,Evening,Weekend,Very High,Heavy,Rainy,IT Park,372.2,1.68,612.47,2025-11-08 07:10:44.266346
Taxi,19.44,Night,Weekend,Medium,Heavy,Cloudy,Commercial,283.28,1.3,375.16,2025-12-07 19:34:44.266514
Taxi,3.67,Night,Weekday,High,Moderate,Cloudy,Residential,94.04,1.35,131.9,2026-01-20 04:58:44.266713
Bike,39.83,Afternoon,Weekday,Medium,Light,Clear,Commercial,258.98,1.0,260.02,2025-08-29 22:26:44.266888
Taxi,49.55,Morning,Weekday,Low,Moderate,Cloudy,Metro Station,644.6,1.0,645.84,2025-09-18 01:54:44.267057
Taxi,36.7,Evening,Weekday,Very High,Light,Clear,Residential,490.4,1.45,698.89,2025-08-16 03:09:44.267230
Bike,32.21,Night,Weekday,Very High,Light,Rainy,Metro Station,213.26,1.58,351.44,2025-12-03 03:02:44.267399
Taxi,30.92,Evening,Weekday,Very High,Light,Cloudy,Residential,421.04,1.45,583.54,2025-12-22 10:51:44.267566
Taxi,10.22,Evening,Weekday,High,Moderate,Storm,Airport,172.64,1.55,258.44,2025-12-27 04:24:44.267770
Taxi,37.59,Morning,Weekday,Low,Moderate,Clear,Metro Station,501.08,1.0,491.03,2025-11-06 12:55:44.267941
Taxi,40.03,Evening,Weekend,Medium,Moderate,Clear,Metro Station,530.36,1.15,618.92,2025-10-14 03:14:44.268111
Taxi,12.23,Evening,Weekday,High,Moderate,Clear,Commercial,196.76,1.3,263.14,2025-08-18 00:02:44.268285
Bike,49.87,Morning,Weekday,Low,Heavy,Cloudy,IT Park,319.22,1.1,358.97,2026-01-13 00:44:44.268451
Bike,11.67,Early Morning,Weekend,Medium,Light,Clear,Metro Station,90.02,1.05,94.29,2025-10-16 18:50:44.268623
Bike,6.93,Evening,Weekday,Very High,Moderate,Rainy,IT Park,61.58,1.53,90.7,2025-08-23 09:51:44.268829
Bike,10.31,Morning,Weekday,Low,Moderate,Clear,Commercial,81.86,1.0,81.01,2025-08-18 12:31:44.269000
Taxi,25.59,Night,Weekday,Low,Moderate,Storm,Residential,357.08,1.3,467.16,2025-09-30 20:56:44.269173
Taxi,32.84,Night,Weekday,Low,Moderate,Clear,Airport,444.08,1.25,582.33,2026-01-23 20:41:44.269344
Taxi,16.24,Evening,Weekday,Medium,Light,Cloudy,Residential,244.88,1.1,258.16,2025-09-26 06:28:44.269513
Bike,37.85,Early Morning,Weekend,Low,Light,Clear,Residential,247.1,1.05,251.59,2025-10-26 01:15:44.269679
Bike,16.03,Evening,Weekday,High,Heavy,Clear,Residential,116.18,1.4,166.99,2025-10-09 19:56:44.269882
Taxi,32.46,Early Morning,Weekday,High,Heavy,Clear,IT Park,439.52,1.3,558.67,2026-01-27 12:26:44.270097
Taxi,43.28,Morning,Weekend,Very High,Heavy,Rainy,IT Park,569.36,1.58,878.04,2025-09-26 11:34:44.270290
Taxi,8.02,Afternoon,Weekend,High,Moderate,Storm,Residential,146.24,1.4,212.92,2026-01-21 04:12:44.270464
Taxi,23.33,Evening,Weekday,Medium,Moderate,Clear,Airport,329.96,1.2,399.43,2025-10-06 05:43:44.270631
Bike,49.67,Evening,Weekend,High,Light,Clear,Commercial,318.02,1.35,429.01,2025-10-17 01:52:44.270797
Taxi,21.22,Night,Weekend,Medium,Light,Clear,Metro Station,304.64,1.2,374.33,2026-02-02 03:08:44.270994
Bike,33.13,Early Morning,Weekday,High,Light,Storm,Metro Station,218.78,1.35,307.28,2025-08-20 22:38:44.271180
Taxi,45.6,Evening,Weekday,High,Heavy,Cloudy,Residential,597.2,1.4,811.45,2026-01-16 14:55:44.271348
Bike,46.96,Early Morning,Weekday,High,Heavy,Clear,Airport,301.76,1.4,434.95,2025-09-28 04:51:44.271514
Bike,10.54,Evening,Weekday,Medium,Heavy,Cloudy,IT Park,83.24,1.2,102.65,2025-11-09 00:57:44.271680
Bike,21.46,Night,Weekday,Low,Light,Clear,Metro Station,148.76,1.15,166.17,2025-08-08 12:36:44.271855
Taxi,19.03,Early Morning,Weekend,High,Heavy,Clear,Residential,278.36,1.35,386.24,2025-09-03 20:17:44.272055
Taxi,6.19,Night,Weekday,Very High,Heavy,Storm,IT Park,124.28,1.75,221.94,2025-08-11 11:48:44.272232
Taxi,12.67,Night,Weekday,Very High,Light,Storm,Commercial,202.04,1.65,329.55,2025-08-15 01:10:44.272403
Taxi,49.33,Afternoon,Weekend,Medium,Light,Cloudy,Residential,641.96,1.05,704.03,2025-11-02 14:34:44.272576
Bike,41.37,Night,Weekend,Low,Moderate,Cloudy,Residential,268.22,1.2,330.08,2025-09-05 08:59:44.272745
Bike,15.12,Morning,Weekday,High,Moderate,Clear,Commercial,110.72,1.2,133.18,2025-10-03 23:51:44.272918
Taxi,29.35,Evening,Weekend,Very High,Moderate,Clear,Metro Station,402.2,1.5,623.2,2025-10-16 12:11:44.273087
Taxi,38.25,Early Morning,Weekend,Medium,Moderate,Clear,Airport,509.0,1.15,558.98,2025-11-29 09:15:44.273286
Taxi,8.56,Morning,Weekday,Medium,Light,Clear,Airport,152.72,1.1,176.32,2026-01-20 21:30:44.273457
Bike,39.37,Morning,Weekday,Medium,Moderate,Clear,Residential,256.22,1.0,261.85,2025-12-26 11:03:44.273625
Bike,40.58,Morning,Weekend,Very High,Moderate,Cloudy,Commercial,263.48,1.4,385.86,2025-12-20 17:52:44.273794
Taxi,43.39,Evening,Weekday,High,Heavy,Rainy,Commercial,570.68,1.48,860.0,2025-10-10 04:15:44.273970
Taxi,6.84,Afternoon,Weekend,Medium,Light,Clear,Metro Station,132.08,1.05,134.19,2025-09-20 06:13:44.274150
Bike,29.56,Afternoon,Weekend,Medium,Heavy,Cloudy,Airport,197.36,1.25,242.66,2025-09-26 09:41:44.274350
Bike,21.46,Evening,Weekend,High,Heavy,Cloudy,Residential,148.76,1.45,205.64,2025-12-11 04:32:44.274525
Taxi,27.04,Morning,Weekend,High,Moderate,Cloudy,Metro Station,374.48,1.25,461.06,2026-01-21 16:20:44.274699
Bike,45.15,Afternoon,Weekend,Medium,Moderate,Rainy,IT Park,290.9,1.13,320.54,2025-12-20 20:56:44.274875
Bike,12.01,Evening,Weekday,Low,Light,Cloudy,IT Park,92.06,1.1,99.88,2025-10-07 15:48:44.275046
Taxi,23.51,Evening,Weekday,Very High,Moderate,Rainy,Metro Station,332.12,1.53,509.09,2026-02-03 09:43:44.275214
Taxi,31.4,Morning,Weekend,Medium,Light,Rainy,Commercial,426.8,1.13,487.05,2025-10-05 04:54:44.275414
Taxi,26.5,Evening,Weekday,High,Heavy,Clear,Airport,368.0,1.5,571.32,2025-12-10 14:28:44.275586
Taxi,32.42,Early Morning,Weekday,High,Light,Clear,Metro Station,439.04,1.2,530.01,2026-02-03 15:45:44.275761
Taxi,45.1,Morning,Weekday,Medium,Moderate,Clear,IT Park,591.2,1.0,603.51,2026-01-28 18:22:44.275929
Taxi,9.95,Night,Weekday,Medium,Moderate,Rainy,IT Park,169.4,1.23,199.06,2025-10-03 15:13:44.276096
Taxi,13.24,Night,Weekend,Very High,Light,Storm,Airport,208.88,1.8,377.71,2026-01-25 08:00:44.276263
Taxi,21.41,Night,Weekday,Medium,Heavy,Clear,Airport,306.92,1.35,432.71,2025-09-19 22:30:44.276458
Taxi,5.06,Early Morning,Weekday,Medium,Moderate,Clear,Metro Station,110.72,1.0,115.45,2025-12-20 10:19:44.276628
Taxi,47.06,Evening,Weekday,Very High,Light,Clear,Airport,614.72,1.55,908.39,2026-01-20 16:14:44.276802
Bike,38.45,Evening,Weekday,Medium,Heavy,Cloudy,Residential,250.7,1.2,287.55,2025-12-03 03:00:44.276974
Bike,30.97,Night,Weekday,Very High,Light,Cloudy,Residential,205.82,1.5,302.05,2025-11-20 01:37:44.277141
Taxi,10.84,Evening,Weekday,Medium,Moderate,Cloudy,Airport,180.08,1.2,214.6,2025-12-21 20:21:44.277306
Taxi,37.63,Afternoon,Weekday,Medium,Light,Rainy,IT Park,501.56,1.08,547.2,2025-09-16 10:59:44.277515
Bike,24.09,Morning,Weekend,Very High,Moderate,Clear,Residential,164.54,1.4,225.28,2026-01-10 08:26:44.277697
Taxi,7.69,Afternoon,Weekend,Low,Heavy,Storm,Metro Station,142.28,1.3,184.64,2025-12-27 11:24:44.277868
Bike,11.84,Afternoon,Weekday,Low,Heavy,Clear,Airport,91.04,1.2,106.93,2025-11-24 08:53:44.278046
Taxi,24.04,Evening,Weekend,Medium,Moderate,Clear,IT Park,338.48,1.15,379.83,2026-01-15 11:50:44.278213
Bike,12.67,Morning,Weekday,Medium,Moderate,Clear,Metro Station,96.02,1.0,94.73,2025-10-28 17:58:44.278381
Taxi,46.55,Night,Weekend,Very High,Moderate,Clear,Airport,608.6,1.65,971.75,2025-12-24 02:56:44.278565
Bike,43.12,Early Morning,Weekday,Medium,Moderate,Clear,Commercial,278.72,1.0,268.58,2025-11-12 22:05:44.278807
Bike,29.79,Night,Weekday,Low,Heavy,Rainy,Commercial,198.74,1.33,260.14,2025-09-17 22:39:44.279021
Bike,8.52,Night,Weekday,Low,Moderate,Storm,Airport,71.12,1.4,98.28,2026-01-06 12:18:44.279194
Bike,24.23,Night,Weekday,Medium,Moderate,Rainy,Residential,165.38,1.23,202.92,2025-10-19 19:44:44.279369
Taxi,30.54,Night,Weekday,High,Heavy,Storm,IT Park,416.48,1.6,644.36,2025-08-13 21:39:44.279538
Taxi,2.45,Early Morning,Weekday,Low,Moderate,Cloudy,Commercial,79.4,1.0,80.63,2026-01-15 21:20:44.279744
Taxi,45.45,Morning,Weekend,Medium,Moderate,Rainy,Residential,595.4,1.13,669.74,2025-12-26 09:11:44.279918
Taxi,22.15,Early Morning,Weekday,High,Heavy,Cloudy,Commercial,315.8,1.3,411.68,2025-10-21 15:07:44.280085
Taxi,33.27,Evening,Weekday,Very High,Heavy,Clear,Metro Station,449.24,1.55,726.81,2025-10-19 03:39:44.280250
Bike,35.74,Night,Weekend,Medium,Light,Clear,IT Park,234.44,1.2,272.0,2026-01-28 02:24:44.280417
Bike,3.03,Evening,Weekday,Low,Light,Clear,Airport,38.18,1.2,44.91,2026-01-24 15:19:44.280614
Taxi,29.16,Early Morning,Weekday,High,Heavy,Storm,Airport,399.92,1.55,646.88,2026-01-22 19:04:44.280822
Taxi,40.64,Evening,Weekday,Very High,Moderate,Clear,Airport,537.68,1.55,863.15,2025-12-05 18:27:44.280994
Taxi,48.92,Afternoon,Weekday,Low,Heavy,Rainy,Commercial,637.04,1.18,781.72,2025-09-19 22:46:44.281162
Bike,21.76,Evening,Weekday,Low,Moderate,Clear,Commercial,150.56,1.1,173.37,2025-11-22 17:18:44.281329
Taxi,17.29,Afternoon,Weekend,High,Light,Clear,Residential,257.48,1.25,318.74,2025-11-24 09:59:44.281509
Bike,18.54,Afternoon,Weekday,Low,Light,Clear,Airport,131.24,1.1,140.5,2026-01-03 08:26:44.281706
Bike,42.83,Morning,Weekend,Medium,Moderate,Clear,Airport,276.98,1.15,306.02,2025-10-19 08:16:44.281909
Bike,30.61,Night,Weekend,High,Light,Rainy,Metro Station,203.66,1.48,288.12,2025-09-23 19:44:44.282097
Taxi,23.24,Early Morning,Weekday,Medium,Moderate,Cloudy,Airport,328.88,1.1,356.22,2026-01-09 12:01:44.282267
Taxi,48.48,Evening,Weekday,Low,Light,Clear,Commercial,631.76,1.1,702.91,2025-12-30 23:29:44.282442
Bike,8.46,Early Morning,Weekend,Medium,Heavy,Cloudy,IT Park,70.76,1.15,83.3,2025-11-28 00:04:44.282619
Bike,24.29,Afternoon,Weekday,Low,Heavy,Clear,Commercial,165.74,1.1,175.75,2025-09-30 08:57:44.282818
Bike,7.07,Morning,Weekend,Very High,Moderate,Clear,IT Park,62.42,1.4,87.37,2025-11-04 02:44:44.283016
Taxi,35.16,Evening,Weekday,High,Heavy,Clear,Airport,471.92,1.5,720.5,2025-08-14 14:07:44.283188
Bike,24.4,Early Morning,Weekday,Low,Light,Clear,Metro Station,166.4,1.0,166.72,2026-01-03 18:03:44.283367
Taxi,8.29,Morning,Weekday,Medium,Moderate,Cloudy,Airport,149.48,1.1,160.72,2025-08-07 21:46:44.283538
Bike,47.74,Afternoon,Weekday,Low,Moderate,Cloudy,Metro Station,306.44,1.0,299.24,2025-11-14 07:01:44.283711
Bike,29.65,Early Morning,Weekend,High,Moderate,Clear,Airport,197.9,1.35,278.94,2025-11-05 06:45:44.283907
Bike,45.18,Morning,Weekday,High,Moderate,Clear,IT Park,291.08,1.2,365.78,2025-09-08 11:58:44.284111
Bike,32.68,Evening,Weekday,High,Moderate,Cloudy,Metro Station,216.08,1.3,278.17,2026-01-03 05:57:44.284282
Taxi,4.54,Morning,Weekday,High,Moderate,Clear,Airport,104.48,1.3,137.0,2025-09-08 18:26:44.284454
Bike,47.87,Evening,Weekday,Very High,Moderate,Clear,Commercial,307.22,1.45,465.47,2025-12-18 12:11:44.284621
Bike,36.64,Night,Weekday,Medium,Heavy,Clear,Airport,239.84,1.35,310.21,2026-02-02 05:57:44.284798
Taxi,39.74,Morning,Weekday,High,Heavy,Clear,Commercial,526.88,1.3,703.75,2025-11-20 06:08:44.284986
Bike,28.75,Evening,Weekday,Low,Moderate,Cloudy,Residential,192.5,1.1,218.57,2025-08-07 18:43:44.285188
Taxi,24.38,Afternoon,Weekday,Medium,Moderate,Rainy,Commercial,342.56,1.08,387.19,2025-10-15 06:54:44.285358
Bike,12.3,Afternoon,Weekend,Medium,Moderate,Cloudy,Metro Station,93.8,1.05,93.75,2025-11-07 11:57:44.285537
Taxi,46.75,Evening,Weekday,Medium,Heavy,Clear,Airport,611.0,1.3,830.47,2025-12-06 22:04:44.285707
Bike,34.5,Evening,Weekend,Low,Moderate,Clear,Residential,227.0,1.15,262.57,2025-08-20 12:37:44.285892
Taxi,3.22,Early Morning,Weekend,Low,Heavy,Clear,Commercial,88.64,1.15,106.12,2025-09-05 23:19:44.286097
Taxi,38.17,Night,Weekday,High,Heavy,Storm,Commercial,508.04,1.6,849.84,2026-01-13 23:00:44.286298
Taxi,4.88,Night,Weekend,Medium,Light,Rainy,IT Park,108.56,1.28,132.74,2025-09-30 11:31:44.286476
Taxi,39.65,Evening,Weekday,Medium,Moderate,Cloudy,Airport,525.8,1.2,601.24,2025-11-07 02:08:44.286643
Bike,46.26,Evening,Weekday,Very High,Light,Cloudy,Commercial,297.56,1.45,421.52,2025-09-09 17:36:44.286814
Taxi,6.21,Morning,Weekday,Low,Moderate,Clear,IT Park,124.52,1.0,119.77,2025-10-20 06:22:44.286990
